转债代码,低点日期,反弹日期,时长,击穿次数,最大收益
113051.SH,2021-09-27 13:15:00,2021-09-27 13:45:00,0 days 00:30:00,4,3.953638119768188
113051.SH,2021-09-28 10:00:00,2021-09-28 10:00:00,0 days 00:00:00,2,5.213382196477112
113051.SH,2021-09-28 10:15:00,2021-09-28 10:30:00,0 days 00:15:00,2,3.0932127773481533
113051.SH,2021-09-28 10:45:00,2021-09-28 10:45:00,0 days 00:00:00,2,2.5468077683451718
113051.SH,2021-09-28 11:00:00,2021-09-28 11:00:00,0 days 00:00:00,2,1.4346623646001477
113051.SH,2021-09-29 09:45:00,2021-09-29 10:00:00,0 days 00:15:00,2,3.21893491124261
113051.SH,2021-09-29 13:30:00,2021-09-29 13:30:00,0 days 00:00:00,2,3.067627236811532
113051.SH,2021-09-29 14:30:00,2021-09-29 15:00:00,0 days 00:30:00,2,1.9243450632456138
113051.SH,2021-09-30 14:30:00,2021-09-30 14:30:00,0 days 00:00:00,2,3.8934426229508157
113051.SH,2021-10-12 13:45:00,2021-10-12 14:45:00,0 days 01:00:00,5,7.442898398529785
113051.SH,2021-10-14 10:00:00,2021-10-14 10:15:00,0 days 00:15:00,4,4.457692568254168
113051.SH,2021-10-15 10:30:00,2021-10-15 11:00:00,0 days 00:30:00,2,2.553333333333341
113051.SH,2021-10-19 09:45:00,2021-10-19 10:00:00,0 days 00:15:00,2,2.7156448869006367
113051.SH,2021-10-22 14:30:00,2021-10-25 09:45:00,2 days 19:15:00,2,4.308681672025716
113051.SH,2021-10-25 13:45:00,2021-10-25 14:00:00,0 days 00:15:00,2,1.691016474976692
113051.SH,2021-10-26 09:45:00,2021-10-26 09:45:00,0 days 00:00:00,2,6.8376068376068355
113051.SH,2021-10-26 10:00:00,2021-10-26 10:00:00,0 days 00:00:00,2,3.9969702266503537
113051.SH,2021-10-26 10:15:00,2021-10-26 10:15:00,0 days 00:00:00,2,2.0519360074194193
113051.SH,2021-10-26 13:30:00,2021-10-26 13:45:00,0 days 00:15:00,2,0.9534394010294767
113051.SH,2021-10-27 09:45:00,2021-10-27 09:45:00,0 days 00:00:00,2,2.607184241019689
113051.SH,2021-10-27 10:00:00,2021-10-27 10:00:00,0 days 00:00:00,2,1.5889464594127878
113051.SH,2021-10-28 09:45:00,2021-10-28 10:00:00,0 days 00:15:00,2,2.9566019249610997
113051.SH,2021-10-28 10:45:00,2021-10-28 11:15:00,0 days 00:30:00,2,3.074653290056073
113051.SH,2021-11-01 10:00:00,2021-11-01 10:00:00,0 days 00:00:00,2,3.26374595707144
113051.SH,2021-11-01 10:15:00,2021-11-01 10:15:00,0 days 00:00:00,2,2.4943178506906083
113051.SH,2021-11-01 10:30:00,2021-11-01 10:45:00,0 days 00:15:00,2,1.0386104917263328
113051.SH,2021-11-02 09:45:00,2021-11-02 10:00:00,0 days 00:15:00,2,1.3273053961629921
113051.SH,2021-11-02 10:45:00,2021-11-02 10:45:00,0 days 00:00:00,2,1.3984397572955665
113051.SH,2021-11-02 11:00:00,2021-11-02 11:00:00,0 days 00:00:00,2,0.8088277774568109
113051.SH,2021-11-03 14:00:00,2021-11-04 09:45:00,0 days 19:45:00,2,4.529106979579378
113051.SH,2021-11-04 10:15:00,2021-11-04 10:15:00,0 days 00:00:00,2,1.7636174395744275
113051.SH,2021-11-04 10:30:00,2021-11-04 10:45:00,0 days 00:15:00,2,2.073893342628108
113051.SH,2021-11-04 13:15:00,2021-11-04 13:30:00,0 days 00:15:00,2,1.1516984644020622
113051.SH,2021-11-08 09:45:00,2021-11-08 10:00:00,0 days 00:15:00,2,2.7714338621072754
113051.SH,2021-11-09 09:45:00,2021-11-09 09:45:00,0 days 00:00:00,2,2.0755813953488245
113051.SH,2021-11-10 13:15:00,2021-11-12 13:30:00,2 days 00:15:00,2,2.8155339805825186
113051.SH,2021-12-01 14:00:00,2021-12-01 14:00:00,0 days 00:00:00,2,6.253284287966365
